,Survived,Pclass,Age,SibSp,Parch,male,Q,S
0,0,3,-0.5122505165142026,1,0,1,0,1
4,0,3,0.39981436179518437,0,0,1,0,1
6,0,1,1.73283226086275,0,0,1,0,1
7,0,3,-1.915427252374798,3,1,1,0,1
12,0,3,-0.6525681901002621,0,0,1,0,1
13,0,3,0.6804497089673034,1,5,1,0,1
14,0,3,-1.0735212108584407,0,0,0,0,1
16,0,3,-1.915427252374798,4,1,1,1,0
18,0,3,0.11917901462306531,1,0,0,0,1
20,0,2,0.39981436179518437,0,0,1,0,1
24,0,3,-1.4944742316166193,3,1,0,0,1
27,0,1,-0.7227270268932918,3,2,1,0,1
30,0,1,0.7506085457603332,0,0,1,0,0
33,0,2,2.574738302379107,0,0,1,0,1
34,0,1,-0.09129749575602399,1,0,1,0,0
35,0,1,0.8909262193463927,1,0,1,0,1
37,0,3,-0.5824093533072323,0,0,1,0,1
38,0,3,-0.7928858636863216,2,0,0,0,1
40,0,3,0.7506085457603332,1,0,0,0,1
41,0,2,-0.16145633254905373,1,0,0,0,1
49,0,3,-0.7928858636863216,1,0,0,0,1
50,0,3,-1.564633068409649,4,1,1,0,1
51,0,3,-0.5824093533072323,0,0,1,0,1
54,0,1,2.5045794655860774,0,1,1,0,0
57,0,3,-0.056218077359509094,0,0,1,0,0
59,0,3,-1.28399772123753,5,2,1,0,1
60,0,3,-0.5122505165142026,0,0,1,0,0
62,0,1,1.101402729725482,1,0,1,0,1
63,0,3,-1.7751095787887383,3,2,1,0,1
67,0,3,-0.7227270268932918,0,0,1,0,1
69,0,3,-0.2316151693420835,2,0,1,0,1
70,0,2,0.18933785141609508,0,0,1,0,1
71,0,3,-0.9332035372723811,5,2,0,0,1
72,0,2,-0.5824093533072323,0,0,1,0,1
73,0,3,-0.2316151693420835,1,0,1,0,0
75,0,3,-0.3017740061351133,0,0,1,0,1
80,0,3,-0.5122505165142026,0,0,1,0,1
83,0,1,-0.09129749575602399,0,0,1,0,1
86,0,3,-0.9332035372723811,1,3,1,0,1
89,0,3,-0.37193284292814305,0,0,1,0,1
90,0,3,-0.021138658962994217,0,0,1,0,1
91,0,3,-0.6525681901002621,0,0,1,0,1
92,0,1,1.1715615665185117,1,0,1,0,1
93,0,3,-0.2316151693420835,1,2,1,0,1
94,0,3,2.0836264448278987,0,0,1,0,1
96,0,1,2.925532486344256,0,0,1,0,0
99,0,2,0.3296555250021546,1,0,1,0,1
100,0,3,-0.09129749575602399,0,0,0,0,1
102,0,1,-0.5824093533072323,0,1,1,0,1
103,0,3,0.25949668820912486,0,0,1,0,1
104,0,3,0.5401320353812439,2,0,1,0,1
105,0,3,-0.09129749575602399,0,0,1,0,1
108,0,3,0.6102908721742737,0,0,1,0,1
110,0,1,1.2417204033115417,0,0,1,0,1
111,0,3,-1.0384417924619258,1,0,0,0,0
112,0,3,-0.5122505165142026,0,0,1,0,1
113,0,3,-0.6525681901002621,1,0,0,0,1
114,0,3,-0.8630447004793513,0,0,0,0,0
115,0,3,-0.5824093533072323,0,0,1,0,1
116,0,3,2.890453067947741,0,0,1,1,0
117,0,2,-0.021138658962994217,1,0,1,0,1
118,0,1,-0.37193284292814305,0,1,1,0,0
119,0,3,-1.915427252374798,4,2,0,0,1
120,0,2,-0.5824093533072323,2,0,1,0,1
122,0,2,0.22441726981260995,1,0,1,0,0
124,0,1,1.73283226086275,0,1,1,0,1
129,0,3,1.101402729725482,0,0,1,0,1
130,0,3,0.25949668820912486,0,0,1,0,0
131,0,3,-0.6525681901002621,0,0,1,0,1
132,0,3,1.2417204033115417,1,0,0,0,1
134,0,2,-0.3017740061351133,0,0,1,0,1
135,0,2,-0.4420916797211728,0,0,1,0,0
137,0,1,0.5401320353812439,1,0,1,0,1
138,0,3,-0.9332035372723811,0,0,1,0,1
139,0,1,-0.37193284292814305,0,0,1,0,0
143,0,3,-0.7227270268932918,0,0,1,1,0
144,0,2,-0.7928858636863216,0,0,1,0,1
145,0,2,-0.7227270268932918,1,1,1,0,1
147,0,3,-1.4243153948235896,2,2,0,0,1
148,0,2,0.505052616984729,0,2,1,0,1
149,0,2,0.8909262193463927,0,0,1,0,1
150,0,2,1.5223557504836607,0,0,1,0,1
152,0,3,1.8380705160522945,0,0,1,0,1
153,0,3,0.785687964156848,0,2,1,0,1
155,0,1,1.5223557504836607,0,1,1,0,0
157,0,3,0.04902017783003555,0,0,1,0,1
160,0,3,1.0312438929324523,0,1,1,0,1
162,0,3,-0.2316151693420835,0,0,1,0,1
163,0,3,-0.8630447004793513,0,0,1,0,1
164,0,3,-1.9855860891678276,4,1,1,0,1
167,0,3,1.101402729725482,1,4,0,0,1
169,0,3,-0.09129749575602399,0,0,1,0,1
170,0,1,2.223944118413958,0,0,1,0,1
171,0,3,-1.7751095787887383,4,1,1,1,0
173,0,3,-0.5824093533072323,0,0,1,0,1
174,0,1,1.8731499344488094,0,0,1,0,0
175,0,3,-0.7928858636863216,1,1,1,0,1
177,0,1,1.4521969136906308,0,0,0,0,0
178,0,2,0.04902017783003555,0,0,1,0,1
179,0,3,0.4699731985882141,0,0,1,0,1
182,0,3,-1.4243153948235896,4,2,1,0,1
188,0,3,0.7506085457603332,1,1,1,1,0
189,0,3,0.4699731985882141,0,0,1,0,1
191,0,2,-0.7227270268932918,0,0,1,0,1
197,0,3,0.8909262193463927,0,1,1,0,1
199,0,2,-0.37193284292814305,0,0,0,0,1
200,0,3,-0.09129749575602399,0,0,1,0,1
202,0,3,0.3296555250021546,0,0,1,0,1
203,0,3,1.1364821481219969,0,0,1,0,0
205,0,3,-1.915427252374798,0,1,0,0,1
206,0,3,0.18933785141609508,1,0,1,0,1
210,0,3,-0.37193284292814305,0,0,1,0,1
212,0,3,-0.5122505165142026,0,0,1,0,1
213,0,2,0.04902017783003555,0,0,1,0,1
217,0,2,0.8909262193463927,1,0,1,0,1
219,0,2,0.04902017783003555,0,0,1,0,1
221,0,2,-0.16145633254905373,0,0,1,0,1
222,0,3,1.5223557504836607,0,0,1,0,1
225,0,3,-0.5122505165142026,0,0,1,0,1
227,0,3,-0.6174887717037472,0,0,1,0,1
228,0,2,-0.7928858636863216,0,0,1,0,1
231,0,3,-0.021138658962994217,0,0,1,0,1
232,0,2,2.0836264448278987,0,0,1,0,1
234,0,2,-0.37193284292814305,0,0,1,0,1
236,0,2,1.0312438929324523,1,0,1,0,1
238,0,2,-0.7227270268932918,0,0,1,0,1
239,0,2,0.25949668820912486,0,0,1,0,1
242,0,2,-0.021138658962994217,0,0,1,0,1
243,0,3,-0.5122505165142026,0,0,1,0,1
244,0,3,0.04902017783003555,0,0,1,0,0
245,0,1,1.0312438929324523,2,0,1,1,0
246,0,3,-0.3017740061351133,0,0,0,0,1
249,0,2,1.73283226086275,1,0,1,0,1
251,0,3,-0.021138658962994217,1,1,0,0,1
252,0,1,2.294102955206988,0,0,1,0,1
253,0,3,0.04902017783003555,1,0,1,0,1
254,0,3,0.820767382553363,0,2,0,0,1
262,0,1,1.5925145872766904,1,1,1,0,1
263,0,1,0.7506085457603332,0,0,1,0,1
265,0,2,0.4699731985882141,0,0,1,0,1
266,0,3,-0.9332035372723811,4,1,1,0,1
273,0,1,0.5401320353812439,0,1,1,0,0
276,0,3,1.101402729725482,0,0,0,0,1
278,0,3,-1.564633068409649,4,1,1,1,0
280,0,3,2.5045794655860774,0,0,1,1,0
281,0,3,-0.09129749575602399,0,0,1,0,1
282,0,3,-0.9332035372723811,0,0,1,0,1
285,0,3,0.25949668820912486,0,0,1,0,0
287,0,3,-0.5122505165142026,0,0,1,0,1
292,0,2,0.4699731985882141,0,0,1,0,0
293,0,3,-0.37193284292814305,0,0,0,0,1
294,0,3,-0.37193284292814305,0,0,1,0,1
296,0,3,-0.4070122613246579,0,0,1,0,0
297,0,1,-1.915427252374798,1,2,0,0,1
302,0,3,-0.7227270268932918,0,0,1,0,1
308,0,2,0.04902017783003555,1,0,1,0,0
312,0,2,-0.2316151693420835,1,1,0,0,1
313,0,3,-0.09129749575602399,0,0,1,0,1
314,0,2,0.9610850561394225,1,1,1,0,1
317,0,2,1.73283226086275,0,0,1,0,1
320,0,3,-0.5122505165142026,0,0,1,0,1
321,0,3,-0.16145633254905373,0,0,1,0,1
326,0,3,2.223944118413958,0,0,1,0,1
331,0,1,1.1364821481219969,0,0,1,0,1
332,0,1,0.6102908721742737,0,1,1,0,1
333,0,3,-0.9332035372723811,2,0,1,0,1
336,0,1,-0.021138658962994217,1,0,1,0,1
339,0,1,1.101402729725482,0,0,1,0,1
342,0,2,-0.09129749575602399,0,0,1,0,1
343,0,2,-0.3017740061351133,0,0,1,0,1
344,0,2,0.4699731985882141,0,0,1,0,1
349,0,3,0.8909262193463927,0,0,1,0,1
350,0,3,-0.4420916797211728,0,0,1,0,1
352,0,3,-1.003362374065411,1,1,1,0,0
353,0,3,-0.3017740061351133,1,0,1,0,1
355,0,3,-0.09129749575602399,0,0,1,0,1
357,0,2,0.6102908721742737,0,0,0,0,1
360,0,3,0.7506085457603332,1,4,1,0,1
361,0,2,-0.021138658962994217,1,0,1,0,0
362,0,3,1.101402729725482,0,1,0,0,0
363,0,3,0.39981436179518437,0,0,1,0,1
365,0,3,0.04902017783003555,0,0,1,0,1
371,0,3,-0.7928858636863216,1,0,1,0,1
372,0,3,-0.7227270268932918,0,0,1,0,1
373,0,1,-0.5122505165142026,0,0,1,0,0
374,0,3,-1.845268415581768,3,1,0,0,1
377,0,1,-0.16145633254905373,0,2,1,0,0
378,0,3,-0.6525681901002621,0,0,1,0,0
379,0,3,-0.7227270268932918,0,0,1,0,1
382,0,3,0.18933785141609508,0,0,1,0,1
385,0,2,-0.7928858636863216,0,0,1,0,1
386,0,3,-1.9855860891678276,5,2,1,0,1
392,0,3,-0.09129749575602399,2,0,1,0,1
395,0,3,-0.5122505165142026,0,0,1,0,1
396,0,3,0.11917901462306531,0,0,0,0,1
397,0,2,1.1715615665185117,0,0,1,0,1
398,0,2,-0.4420916797211728,0,0,1,0,1
401,0,3,-0.2316151693420835,0,0,1,0,1
402,0,3,-0.5824093533072323,1,0,0,0,1
403,0,3,-0.09129749575602399,1,0,1,0,1
404,0,3,-0.6525681901002621,0,0,0,0,1
405,0,2,0.3296555250021546,1,0,1,0,1
406,0,3,1.5223557504836607,0,0,1,0,1
408,0,3,-0.5824093533072323,0,0,1,0,1
418,0,2,0.04902017783003555,0,0,1,0,1
419,0,3,-1.3541565580305597,0,2,0,0,1
421,0,3,-0.5824093533072323,0,0,1,1,0
422,0,3,-0.021138658962994217,0,0,1,0,1
423,0,3,-0.09129749575602399,1,1,0,0,1
424,0,3,-0.7928858636863216,1,1,1,0,1
433,0,3,-0.8630447004793513,0,0,1,0,1
434,0,1,1.4521969136906308,1,0,1,0,1
436,0,3,-0.5824093533072323,2,2,0,0,1
438,0,1,2.4344206287930477,1,4,1,0,1
439,0,2,0.11917901462306531,0,0,1,0,1
441,0,3,-0.6525681901002621,0,0,1,0,1
442,0,3,-0.3017740061351133,1,0,1,0,1
450,0,2,0.4699731985882141,1,2,1,0,1
452,0,1,0.04902017783003555,0,0,1,0,0
456,0,1,2.5045794655860774,0,0,1,0,1
461,0,3,0.3296555250021546,0,0,1,0,1
462,0,1,1.2417204033115417,0,0,1,0,1
463,0,2,1.3118792401045714,0,0,1,0,1
465,0,3,0.6102908721742737,0,0,1,0,1
467,0,1,1.8731499344488094,0,0,1,0,1
471,0,3,0.6102908721742737,0,0,1,0,1
474,0,3,-0.5122505165142026,0,0,0,0,1
476,0,2,0.3296555250021546,1,0,1,0,1
477,0,3,-0.021138658962994217,1,0,1,0,1
478,0,3,-0.5122505165142026,0,0,1,0,1
480,0,3,-1.4243153948235896,5,2,1,0,1
482,0,3,1.4521969136906308,0,0,1,0,1
487,0,1,2.013467608034869,0,0,1,0,0
488,0,3,0.04902017783003555,0,0,1,0,1
491,0,3,-0.5824093533072323,0,0,1,0,1
492,0,1,1.8029910976557797,0,0,1,0,1
493,0,1,2.925532486344256,0,0,1,0,0
494,0,3,-0.5824093533072323,0,0,1,0,1
498,0,1,-0.3017740061351133,1,2,0,0,1
499,0,3,-0.37193284292814305,0,0,1,0,1
500,0,3,-0.8630447004793513,0,0,1,0,1
501,0,3,-0.5824093533072323,0,0,0,1,0
503,0,3,0.5401320353812439,0,0,0,0,1
505,0,1,-0.7928858636863216,1,0,1,0,0
508,0,3,-0.09129749575602399,0,0,1,0,1
514,0,3,-0.37193284292814305,0,0,1,0,1
515,0,1,1.2417204033115417,0,0,1,0,1
519,0,3,0.18933785141609508,0,0,1,0,1
521,0,3,-0.5122505165142026,0,0,1,0,1
525,0,3,0.785687964156848,0,0,1,1,0
528,0,3,0.6804497089673034,0,0,1,0,1
529,0,2,-0.4420916797211728,2,1,1,0,1
532,0,3,-0.8630447004793513,1,1,1,0,0
534,0,3,0.04902017783003555,0,0,0,0,1
536,0,1,1.101402729725482,0,0,1,0,1
541,0,3,-1.4243153948235896,4,2,0,0,1
542,0,3,-1.28399772123753,4,2,0,0,1
544,0,1,1.4521969136906308,1,0,1,0,0
545,0,1,2.4344206287930477,0,0,1,0,1
548,0,3,0.25949668820912486,1,1,1,0,1
551,0,2,-0.16145633254905373,0,0,1,0,1
555,0,1,2.294102955206988,0,0,1,0,1
561,0,3,0.7506085457603332,0,0,1,0,1
562,0,2,-0.09129749575602399,0,0,1,0,1
565,0,3,-0.37193284292814305,2,0,1,0,1
566,0,3,-0.7227270268932918,0,0,1,0,1
567,0,3,-0.021138658962994217,0,4,0,0,1
574,0,3,-0.9332035372723811,0,0,1,0,1
575,0,3,-0.7227270268932918,0,0,1,0,1
582,0,2,1.73283226086275,0,0,1,0,1
583,0,1,0.4699731985882141,0,0,1,0,0
586,0,2,1.2417204033115417,0,0,1,0,1
588,0,3,-0.5122505165142026,0,0,1,0,1
590,0,3,0.39981436179518437,0,0,1,0,1
592,0,3,1.2417204033115417,0,0,1,0,1
594,0,2,0.5401320353812439,1,0,1,0,1
595,0,3,0.4699731985882141,1,1,1,0,1
597,0,3,1.382038076897601,0,0,1,0,1
603,0,3,1.0312438929324523,0,0,1,0,1
605,0,3,0.4699731985882141,1,0,1,0,1
606,0,3,0.04902017783003555,0,0,1,0,1
610,0,3,0.6804497089673034,1,5,0,0,1
614,0,3,0.39981436179518437,0,0,1,0,1
616,0,3,0.3296555250021546,1,1,1,0,1
617,0,3,-0.2316151693420835,1,0,0,0,1
619,0,2,-0.2316151693420835,0,0,1,0,1
620,0,3,-0.16145633254905373,1,0,1,0,0
623,0,3,-0.5824093533072323,0,0,1,0,1
624,0,3,-0.5824093533072323,0,0,1,0,1
625,0,1,2.223944118413958,0,0,1,0,1
626,0,2,1.943308771241839,0,0,1,1,0
628,0,3,-0.2316151693420835,0,0,1,0,1
631,0,3,1.5223557504836607,0,0,1,0,1
634,0,3,-1.4243153948235896,3,2,0,0,1
636,0,3,0.18933785141609508,0,0,1,0,1
637,0,2,0.11917901462306531,1,1,1,0,1
638,0,3,0.820767382553363,0,5,0,0,1
640,0,3,-0.6525681901002621,0,0,1,0,1
642,0,3,-1.915427252374798,3,2,0,0,1
646,0,3,-0.7227270268932918,0,0,1,0,1
652,0,3,-0.5824093533072323,0,0,1,0,1
654,0,3,-0.7928858636863216,0,0,0,1,0
655,0,2,-0.37193284292814305,2,0,1,0,1
657,0,3,0.18933785141609508,1,1,0,1,0
658,0,2,-0.4420916797211728,0,0,1,0,1
659,0,1,2.013467608034869,0,2,1,0,0
661,0,3,0.7506085457603332,0,0,1,0,0
662,0,1,1.2417204033115417,0,0,1,0,1
663,0,3,0.4699731985882141,0,0,1,0,1
665,0,2,0.18933785141609508,2,0,1,0,1
666,0,2,-0.3017740061351133,0,0,1,0,1
668,0,3,0.9610850561394225,0,0,1,0,1
671,0,1,0.11917901462306531,1,0,1,0,1
672,0,2,2.8553736495512263,0,0,1,0,1
675,0,3,-0.7928858636863216,0,0,1,0,1
676,0,3,-0.33685342453162814,0,0,1,0,1
678,0,3,0.9610850561394225,1,6,0,0,1
682,0,3,-0.6525681901002621,0,0,1,0,1
683,0,3,-1.0735212108584407,5,2,1,0,1
684,0,2,2.1537852816209284,1,1,1,0,1
685,0,2,-0.3017740061351133,1,2,1,0,0
686,0,3,-1.0735212108584407,4,1,1,0,1
687,0,3,-0.7227270268932918,0,0,1,0,1
688,0,3,-0.7928858636863216,0,0,1,0,1
693,0,3,-0.3017740061351133,0,0,1,0,0
694,0,1,2.1537852816209284,0,0,1,0,1
695,0,2,1.5925145872766904,0,0,1,0,1
696,0,3,1.0312438929324523,0,0,1,0,1
698,0,1,1.382038076897601,1,1,1,0,0
699,0,3,0.8909262193463927,0,0,1,0,1
702,0,3,-0.7928858636863216,0,1,0,0,0
703,0,3,-0.3017740061351133,0,0,1,1,0
704,0,3,-0.2316151693420835,1,0,1,0,1
705,0,2,0.6804497089673034,0,0,1,0,1
713,0,3,-0.021138658962994217,0,0,1,0,1
714,0,2,1.5925145872766904,0,0,1,0,1
715,0,3,-0.7227270268932918,0,0,1,0,1
719,0,3,0.25949668820912486,0,0,1,0,1
721,0,3,-0.8630447004793513,1,0,1,0,1
722,0,2,0.3296555250021546,0,0,1,0,1
723,0,2,1.4521969136906308,0,0,1,0,1
725,0,3,-0.6525681901002621,0,0,1,0,1
728,0,2,-0.3017740061351133,1,0,1,0,1
729,0,3,-0.3017740061351133,1,0,0,0,1
731,0,3,-1.28399772123753,0,0,1,0,0
733,0,2,-0.4420916797211728,0,0,1,0,1
734,0,2,-0.4420916797211728,0,0,1,0,1
735,0,3,-0.056218077359509094,0,0,1,0,1
736,0,3,1.3118792401045714,1,3,0,0,1
741,0,1,0.4699731985882141,1,0,1,0,1
743,0,3,-0.37193284292814305,1,0,1,0,1
745,0,1,2.8553736495512263,1,1,1,0,1
746,0,3,-0.9332035372723811,1,1,1,0,1
748,0,1,-0.7227270268932918,1,0,1,0,1
749,0,3,0.11917901462306531,0,0,1,1,0
752,0,3,0.25949668820912486,0,0,1,0,1
753,0,3,-0.4420916797211728,0,0,1,0,1
756,0,3,-0.09129749575602399,0,0,1,0,1
757,0,2,-0.7928858636863216,0,0,1,0,1
758,0,3,0.3296555250021546,0,0,1,0,1
761,0,3,0.820767382553363,0,0,1,0,1
764,0,3,-0.9332035372723811,0,0,1,0,1
767,0,3,0.08409959622655043,0,0,0,1,0
769,0,3,0.18933785141609508,0,0,1,0,1
770,0,3,-0.37193284292814305,0,0,1,0,1
771,0,3,1.3118792401045714,0,0,1,0,1
772,0,2,1.943308771241839,0,0,0,0,1
775,0,3,-0.7928858636863216,0,0,1,0,1
782,0,1,-0.021138658962994217,0,0,1,0,1
784,0,3,-0.3017740061351133,0,0,1,0,1
785,0,3,-0.3017740061351133,0,0,1,0,1
787,0,3,-1.4944742316166193,4,1,1,1,0
789,0,1,1.1715615665185117,0,0,1,0,0
791,0,2,-0.9332035372723811,0,0,1,0,1
794,0,3,-0.3017740061351133,0,0,1,0,1
795,0,2,0.6804497089673034,0,0,1,0,1
798,0,3,0.04902017783003555,0,0,1,0,0
799,0,3,0.04902017783003555,1,1,0,0,1
800,0,2,0.3296555250021546,0,0,1,0,1
805,0,3,0.11917901462306531,0,0,1,0,1
806,0,1,0.6804497089673034,0,0,1,0,1
807,0,3,-0.7928858636863216,0,0,0,0,1
808,0,2,0.6804497089673034,0,0,1,0,1
810,0,3,-0.2316151693420835,0,0,1,0,1
811,0,3,0.6804497089673034,0,0,1,0,1
812,0,2,0.39981436179518437,0,0,1,0,1
813,0,3,-1.6347919052026787,4,2,0,0,1
814,0,3,0.08409959622655043,0,0,1,0,1
816,0,3,-0.4420916797211728,0,0,0,0,1
817,0,2,0.11917901462306531,1,1,1,0,0
818,0,3,0.9610850561394225,0,0,1,0,1
819,0,3,-1.3541565580305597,3,2,1,0,1
822,0,1,0.6102908721742737,0,0,1,0,1
824,0,3,-1.915427252374798,4,1,1,0,1
833,0,3,-0.4420916797211728,0,0,1,0,1
834,0,3,-0.7928858636863216,0,0,1,0,1
836,0,3,-0.5824093533072323,0,0,1,0,1
840,0,3,-0.6525681901002621,0,0,1,0,1
841,0,2,-0.9332035372723811,0,0,1,0,1
843,0,3,0.3647349433986695,0,0,1,0,0
844,0,3,-0.8630447004793513,0,0,1,0,1
845,0,3,0.8909262193463927,0,0,1,0,1
847,0,3,0.39981436179518437,0,0,1,0,0
848,0,2,-0.09129749575602399,0,1,1,0,1
850,0,3,-1.7751095787887383,4,2,1,0,1
851,0,3,3.136008996723345,0,0,1,0,1
852,0,3,-1.4243153948235896,1,1,0,0,0
854,0,2,1.0312438929324523,1,0,0,0,1
860,0,3,0.820767382553363,2,0,1,0,1
861,0,2,-0.5824093533072323,1,0,1,0,1
864,0,2,-0.37193284292814305,0,0,1,0,1
867,0,1,0.11917901462306531,0,0,1,0,1
870,0,3,-0.2316151693420835,0,0,1,0,1
872,0,1,0.25949668820912486,0,0,1,0,1
873,0,3,1.2417204033115417,0,0,1,0,1
876,0,3,-0.6525681901002621,0,0,1,0,1
877,0,3,-0.7227270268932918,0,0,1,0,1
881,0,3,0.25949668820912486,0,0,1,0,1
882,0,3,-0.5122505165142026,0,0,0,0,1
883,0,2,-0.09129749575602399,0,0,1,0,1
884,0,3,-0.3017740061351133,0,0,1,0,1
885,0,3,0.6804497089673034,0,5,0,1,0
886,0,2,-0.16145633254905373,0,0,1,0,1
