,Survived,Pclass,Age,SibSp,Parch,male,Q,S
890,0,3,0.18933785141609508,0,0,1,1,0
325,1,1,0.4699731985882141,0,0,0,0,0
712,1,1,1.3118792401045714,1,0,1,0,1
56,1,2,-0.5824093533072323,0,0,0,0,1
289,1,3,-0.5122505165142026,0,0,0,1,0
345,1,2,-0.37193284292814305,0,0,0,0,1
399,1,2,-0.09129749575602399,0,0,0,0,1
215,1,1,0.11917901462306531,1,0,0,0,0
660,1,1,1.4521969136906308,2,0,1,0,1
701,1,1,0.39981436179518437,0,0,1,0,1
322,1,2,0.04902017783003555,0,0,0,1,0
376,1,3,-0.5122505165142026,0,0,0,0,1
412,1,1,0.25949668820912486,1,0,0,1,0
190,1,2,0.18933785141609508,0,0,0,0,1
267,1,3,-0.3017740061351133,1,0,1,0,1
125,1,3,-1.2138388844445003,1,0,1,0,0
700,1,1,-0.7928858636863216,1,0,0,0,0
369,1,1,-0.37193284292814305,0,0,0,0,0
781,1,1,-0.8630447004793513,1,0,0,0,1
322,1,2,0.04902017783003555,0,0,0,1,0
641,1,1,-0.37193284292814305,0,0,0,0,0
255,1,3,-0.021138658962994217,0,2,0,0,0
3,1,1,0.39981436179518437,1,0,0,0,1
151,1,1,-0.5122505165142026,1,0,0,0,1
290,1,1,-0.2316151693420835,0,0,0,0,1
190,1,2,0.18933785141609508,0,0,0,0,1
550,1,1,-0.8630447004793513,0,2,1,0,0
435,1,1,-1.0735212108584407,1,2,0,0,1
327,1,2,0.4699731985882141,0,0,0,0,1
558,1,1,0.6804497089673034,1,1,0,0,1
651,1,2,-0.7928858636863216,0,1,0,0,1
389,1,2,-0.8630447004793513,0,0,0,0,0
271,1,3,-0.3017740061351133,0,0,1,0,1
530,1,2,-1.915427252374798,1,1,0,0,1
345,1,2,-0.37193284292814305,0,0,0,0,1
233,1,3,-1.7049507419957086,4,2,0,0,1
865,1,2,0.8909262193463927,0,0,0,0,1
630,1,1,3.5569620174815237,0,0,1,0,1
458,1,2,1.4521969136906308,0,0,0,0,1
842,1,1,0.04902017783003555,0,0,0,0,0
781,1,1,-0.8630447004793513,1,0,0,0,1
506,1,2,0.25949668820912486,0,2,0,0,1
558,1,1,0.6804497089673034,1,1,0,0,1
258,1,1,0.39981436179518437,0,0,0,0,0
486,1,1,0.39981436179518437,1,0,0,0,1
641,1,1,-0.37193284292814305,0,0,0,0,0
838,1,3,0.18933785141609508,0,0,1,0,1
788,1,3,-1.9855860891678276,1,2,1,0,1
755,1,2,-2.0087385053095272,1,1,1,0,1
417,1,2,-0.7928858636863216,0,2,0,0,1
172,1,3,-1.9855860891678276,1,1,0,0,1
576,1,2,0.3296555250021546,0,0,0,0,1
570,1,2,2.294102955206988,0,0,1,0,1
84,1,2,-0.8630447004793513,0,0,0,0,1
831,1,2,-1.9975130914226429,1,1,1,0,1
58,1,2,-1.7049507419957086,1,2,0,0,1
2,1,3,-0.2316151693420835,0,0,0,0,1
195,1,1,2.013467608034869,0,0,0,0,0
720,1,2,-1.6347919052026787,0,1,0,0,1
211,1,2,0.39981436179518437,0,0,0,0,1
8,1,3,-0.16145633254905373,0,2,0,0,1
248,1,1,0.5401320353812439,1,1,1,0,1
445,1,1,-1.7751095787887383,0,2,1,0,1
472,1,2,0.25949668820912486,1,2,0,0,1
338,1,3,1.101402729725482,0,0,1,0,1
8,1,3,-0.16145633254905373,0,2,0,0,1
802,1,1,-1.28399772123753,1,2,1,0,1
754,1,2,1.3118792401045714,1,2,0,0,1
690,1,1,0.11917901462306531,1,0,1,0,1
809,1,1,0.25949668820912486,1,0,0,0,1
823,1,3,-0.16145633254905373,0,1,0,0,1
305,1,1,-1.9911987961112698,1,2,1,0,1
44,1,3,-0.7227270268932918,0,0,0,1,0
608,1,2,-0.5122505165142026,1,2,0,0,0
446,1,2,-1.1436800476514704,0,1,0,0,1
88,1,1,-0.4420916797211728,3,2,0,0,1
383,1,1,0.39981436179518437,1,0,0,0,1
327,1,2,0.4699731985882141,0,0,0,0,1
591,1,1,1.5925145872766904,1,0,0,0,0
53,1,2,-0.021138658962994217,1,0,0,0,1
430,1,1,-0.09129749575602399,0,0,1,0,1
356,1,1,-0.5122505165142026,0,1,0,0,1
299,1,1,1.4521969136906308,0,1,0,0,0
187,1,1,1.101402729725482,0,0,1,0,1
842,1,1,0.04902017783003555,0,0,0,0,0
796,1,1,1.382038076897601,0,0,0,0,1
220,1,3,-0.9332035372723811,0,0,1,0,1
786,1,3,-0.7928858636863216,0,0,0,0,1
435,1,1,-1.0735212108584407,1,2,0,0,1
307,1,1,-0.8630447004793513,1,0,0,0,0
447,1,1,0.3296555250021546,0,0,1,0,1
390,1,1,0.4699731985882141,1,2,1,0,1
777,1,3,-1.7049507419957086,0,0,0,0,1
216,1,3,-0.16145633254905373,0,0,0,0,1
272,1,2,0.820767382553363,0,1,0,0,1
21,1,2,0.3296555250021546,0,0,1,0,1
632,1,1,0.18933785141609508,0,0,1,0,0
237,1,2,-1.4944742316166193,0,2,0,0,1
690,1,1,0.11917901462306531,1,0,1,0,1
608,1,2,-0.5122505165142026,1,2,0,0,0
156,1,3,-0.9332035372723811,0,0,0,1,0
271,1,3,-0.3017740061351133,0,0,1,0,1
484,1,1,-0.3017740061351133,1,0,1,0,0
399,1,2,-0.09129749575602399,0,0,0,0,1
435,1,1,-1.0735212108584407,1,2,0,0,1
835,1,1,0.6804497089673034,1,1,0,0,0
779,1,1,0.9610850561394225,0,1,0,0,1
797,1,3,0.11917901462306531,0,0,0,0,1
763,1,1,0.4699731985882141,1,2,0,0,1
535,1,2,-1.564633068409649,0,2,0,0,1
632,1,1,0.18933785141609508,0,0,1,0,0
230,1,1,0.39981436179518437,1,0,0,0,1
8,1,3,-0.16145633254905373,0,2,0,0,1
56,1,2,-0.5824093533072323,0,0,0,0,1
307,1,1,-0.8630447004793513,1,0,0,0,0
742,1,1,-0.5824093533072323,2,2,0,0,0
664,1,3,-0.6525681901002621,1,0,1,0,1
607,1,1,-0.16145633254905373,0,0,1,0,1
323,1,2,-0.5122505165142026,1,1,0,0,1
194,1,1,1.0312438929324523,0,0,0,0,0
426,1,2,-0.09129749575602399,1,0,0,0,1
458,1,2,1.4521969136906308,0,0,0,0,1
184,1,3,-1.7751095787887383,0,2,0,0,1
58,1,2,-1.7049507419957086,1,2,0,0,1
546,1,2,-0.7227270268932918,1,0,0,0,1
267,1,3,-0.3017740061351133,1,0,1,0,1
226,1,2,-0.7227270268932918,0,0,1,0,1
600,1,2,-0.37193284292814305,2,1,0,0,1
445,1,1,-1.7751095787887383,0,2,1,0,1
315,1,3,-0.2316151693420835,0,0,0,0,1
184,1,3,-1.7751095787887383,0,2,0,0,1
394,1,3,-0.37193284292814305,0,2,0,0,1
577,1,1,0.6804497089673034,1,0,0,0,1
871,1,1,1.2417204033115417,1,1,0,0,1
875,1,3,-1.003362374065411,0,0,0,0,0
366,1,1,2.1537852816209284,1,0,0,0,0
802,1,1,-1.28399772123753,1,2,1,0,1
327,1,2,0.4699731985882141,0,0,0,0,1
632,1,1,0.18933785141609508,0,0,1,0,0
328,1,3,0.11917901462306531,1,1,0,0,1
370,1,1,-0.3017740061351133,1,0,1,0,0
220,1,3,-0.9332035372723811,0,0,1,0,1
440,1,2,1.101402729725482,1,1,0,0,1
599,1,1,1.382038076897601,1,0,1,0,0
512,1,1,0.4699731985882141,0,0,1,0,1
257,1,1,0.04902017783003555,0,0,0,0,1
400,1,3,0.6804497089673034,0,0,1,0,1
635,1,2,-0.09129749575602399,0,0,0,0,1
779,1,1,0.9610850561394225,0,1,0,0,1
97,1,1,-0.4420916797211728,0,1,1,0,0
23,1,1,-0.09129749575602399,0,0,1,0,1
708,1,1,-0.5122505165142026,0,0,0,0,1
802,1,1,-1.28399772123753,1,2,1,0,1
802,1,1,-1.28399772123753,1,2,1,0,1
866,1,2,-0.16145633254905373,1,0,0,0,0
679,1,1,0.4699731985882141,0,1,1,0,0
570,1,2,2.294102955206988,0,0,1,0,1
484,1,1,-0.3017740061351133,1,0,1,0,0
576,1,2,0.3296555250021546,0,0,0,0,1
599,1,1,1.382038076897601,1,0,1,0,0
23,1,1,-0.09129749575602399,0,0,1,0,1
437,1,2,-0.37193284292814305,2,3,0,0,1
759,1,1,0.25949668820912486,0,0,0,0,1
871,1,1,1.2417204033115417,1,1,0,0,1
248,1,1,0.5401320353812439,1,1,1,0,1
381,1,3,-1.9855860891678276,0,2,0,0,0
15,1,2,1.8029910976557797,0,0,0,0,1
701,1,1,0.39981436179518437,0,0,1,0,1
526,1,2,1.4521969136906308,0,0,0,0,1
681,1,1,-0.16145633254905373,0,0,1,0,0
440,1,2,1.101402729725482,1,1,0,0,1
530,1,2,-1.915427252374798,1,1,0,0,1
664,1,3,-0.6525681901002621,1,0,1,0,1
717,1,2,-0.16145633254905373,0,0,0,0,1
309,1,1,0.04902017783003555,0,0,0,0,0
183,1,2,-1.9855860891678276,2,1,1,0,1
315,1,3,-0.2316151693420835,0,0,0,0,1
348,1,3,-1.845268415581768,1,1,1,0,1
224,1,1,0.6102908721742737,1,0,1,0,1
763,1,1,0.4699731985882141,1,2,0,0,1
763,1,1,0.4699731985882141,1,2,0,0,1
44,1,3,-0.7227270268932918,0,0,0,1,0
79,1,3,0.04902017783003555,0,0,0,0,1
387,1,2,0.4699731985882141,0,0,0,0,1
283,1,3,-0.7227270268932918,0,0,1,0,1
747,1,2,0.04902017783003555,0,0,0,0,1
742,1,1,-0.5824093533072323,2,2,0,0,0
483,1,3,2.364261792000018,0,0,0,0,1
412,1,1,0.25949668820912486,1,0,0,1,0
449,1,1,1.5925145872766904,0,0,1,0,1
414,1,3,1.0312438929324523,0,0,1,0,1
290,1,1,-0.2316151693420835,0,0,0,0,1
726,1,2,0.04902017783003555,3,0,0,0,1
744,1,3,0.11917901462306531,0,0,1,0,1
677,1,3,-0.7928858636863216,0,0,0,0,1
9,1,2,-1.0735212108584407,1,0,0,0,0
472,1,2,0.25949668820912486,1,2,0,0,1
125,1,3,-1.2138388844445003,1,0,1,0,0
345,1,2,-0.37193284292814305,0,0,0,0,1
338,1,3,1.101402729725482,0,0,1,0,1
216,1,3,-0.16145633254905373,0,0,0,0,1
797,1,3,0.11917901462306531,0,0,0,0,1
543,1,2,0.18933785141609508,1,0,1,0,1
865,1,2,0.8909262193463927,0,0,0,0,1
207,1,3,-0.2316151693420835,0,0,1,0,0
289,1,3,-0.5122505165142026,0,0,0,1,0
259,1,2,1.4521969136906308,0,1,0,0,1
151,1,1,-0.5122505165142026,1,0,0,0,1
98,1,2,0.3296555250021546,0,1,0,0,1
66,1,2,-0.021138658962994217,0,0,0,0,1
2,1,3,-0.2316151693420835,0,0,0,0,1
430,1,1,-0.09129749575602399,0,0,1,0,1
286,1,3,0.04902017783003555,0,0,1,0,1
516,1,2,0.3296555250021546,0,0,0,0,1
272,1,2,0.820767382553363,0,1,0,0,1
84,1,2,-0.8630447004793513,0,0,0,0,1
323,1,2,-0.5122505165142026,1,1,0,0,1
387,1,2,0.4699731985882141,0,0,0,0,1
286,1,3,0.04902017783003555,0,0,1,0,1
453,1,1,1.382038076897601,1,0,1,0,0
887,1,1,-0.7227270268932918,0,0,0,0,1
506,1,2,0.25949668820912486,0,2,0,0,1
39,1,3,-1.0735212108584407,1,0,0,0,0
310,1,1,-0.37193284292814305,0,0,0,0,0
315,1,3,-0.2316151693420835,0,0,0,0,1
146,1,3,-0.16145633254905373,0,0,1,0,1
15,1,2,1.8029910976557797,0,0,0,0,1
345,1,2,-0.37193284292814305,0,0,0,0,1
520,1,1,0.04902017783003555,0,0,0,0,1
44,1,3,-0.7227270268932918,0,0,0,1,0
376,1,3,-0.5122505165142026,0,0,0,0,1
416,1,2,0.3296555250021546,1,1,0,0,1
426,1,2,-0.09129749575602399,1,0,0,0,1
142,1,3,-0.37193284292814305,1,0,0,0,1
226,1,2,-0.7227270268932918,0,0,1,0,1
44,1,3,-0.7227270268932918,0,0,0,1,0
224,1,1,0.6102908721742737,1,0,1,0,1
286,1,3,0.04902017783003555,0,0,1,0,1
142,1,3,-0.37193284292814305,1,0,0,0,1
690,1,1,0.11917901462306531,1,0,1,0,1
11,1,1,2.013467608034869,0,0,0,0,1
259,1,2,1.4521969136906308,0,1,0,0,1
750,1,2,-1.7751095787887383,1,1,0,0,1
700,1,1,-0.7928858636863216,1,0,0,0,0
195,1,1,2.013467608034869,0,0,0,0,0
802,1,1,-1.28399772123753,1,2,1,0,1
416,1,2,0.3296555250021546,1,1,0,0,1
340,1,2,-1.915427252374798,1,1,1,0,1
412,1,1,0.25949668820912486,1,0,0,1,0
412,1,1,0.25949668820912486,1,0,0,1,0
318,1,1,0.11917901462306531,0,2,0,0,1
520,1,1,0.04902017783003555,0,0,0,0,1
376,1,3,-0.5122505165142026,0,0,0,0,1
204,1,3,-0.7928858636863216,0,0,1,0,1
801,1,2,0.11917901462306531,1,1,0,0,1
700,1,1,-0.7928858636863216,1,0,0,0,0
44,1,3,-0.7227270268932918,0,0,0,1,0
3,1,1,0.39981436179518437,1,0,0,0,1
742,1,1,-0.5824093533072323,2,2,0,0,0
510,1,3,-0.021138658962994217,0,0,1,1,0
802,1,1,-1.28399772123753,1,2,1,0,1
691,1,3,-1.7751095787887383,0,1,0,0,0
720,1,2,-1.6347919052026787,0,1,0,0,1
679,1,1,0.4699731985882141,0,1,1,0,0
763,1,1,0.4699731985882141,1,2,0,0,1
345,1,2,-0.37193284292814305,0,0,0,0,1
679,1,1,0.4699731985882141,0,1,1,0,0
369,1,1,-0.37193284292814305,0,0,0,0,0
74,1,3,0.18933785141609508,0,0,1,0,1
506,1,2,0.25949668820912486,0,2,0,0,1
577,1,1,0.6804497089673034,1,0,0,0,1
889,1,1,-0.2316151693420835,0,0,1,0,0
258,1,1,0.39981436179518437,0,0,0,0,0
700,1,1,-0.7928858636863216,1,0,0,0,0
272,1,2,0.820767382553363,0,1,0,0,1
580,1,2,-0.3017740061351133,1,1,0,0,1
765,1,1,1.5223557504836607,1,0,0,0,1
670,1,2,0.7506085457603332,1,1,0,0,1
691,1,3,-1.7751095787887383,0,1,0,0,0
88,1,1,-0.4420916797211728,3,2,0,0,1
53,1,2,-0.021138658962994217,1,0,0,0,1
435,1,1,-1.0735212108584407,1,2,0,0,1
788,1,3,-1.9855860891678276,1,2,1,0,1
585,1,1,-0.7928858636863216,0,2,0,0,1
708,1,1,-0.5122505165142026,0,0,0,0,1
309,1,1,0.04902017783003555,0,0,0,0,0
887,1,1,-0.7227270268932918,0,0,0,0,1
647,1,1,1.8731499344488094,0,0,1,0,0
376,1,3,-0.5122505165142026,0,0,0,0,1
571,1,1,1.66267342406972,2,0,0,0,1
796,1,1,1.382038076897601,0,0,0,0,1
309,1,1,0.04902017783003555,0,0,0,0,0
879,1,1,1.8731499344488094,0,1,0,0,0
237,1,2,-1.4944742316166193,0,2,0,0,1
862,1,1,1.3118792401045714,0,0,0,0,1
97,1,1,-0.4420916797211728,0,1,1,0,0
21,1,2,0.3296555250021546,0,0,1,0,1
68,1,3,-0.8630447004793513,4,2,0,0,1
765,1,1,1.5223557504836607,1,0,0,0,1
319,1,1,0.7506085457603332,1,1,0,0,0
366,1,1,2.1537852816209284,1,0,0,0,0
726,1,2,0.04902017783003555,3,0,0,0,1
151,1,1,-0.5122505165142026,1,0,0,0,1
871,1,1,1.2417204033115417,1,1,0,0,1
549,1,2,-1.4944742316166193,1,1,1,0,1
407,1,2,-1.845268415581768,1,1,1,0,1
627,1,1,-0.5824093533072323,0,0,0,0,1
691,1,3,-1.7751095787887383,0,1,0,0,0
125,1,3,-1.2138388844445003,1,0,1,0,0
720,1,2,-1.6347919052026787,0,1,0,0,1
271,1,3,-0.3017740061351133,0,0,1,0,1
8,1,3,-0.16145633254905373,0,2,0,0,1
585,1,1,-0.7928858636863216,0,2,0,0,1
607,1,1,-0.16145633254905373,0,0,1,0,1
677,1,3,-0.7928858636863216,0,0,0,0,1
716,1,1,0.6102908721742737,0,0,0,0,0
504,1,1,-0.9332035372723811,0,0,0,0,1
618,1,2,-1.7751095787887383,2,1,0,0,1
556,1,1,1.3118792401045714,1,0,0,0,0
865,1,2,0.8909262193463927,0,0,0,0,1
754,1,2,1.3118792401045714,1,2,0,0,1
193,1,2,-1.845268415581768,1,1,1,0,1
21,1,2,0.3296555250021546,0,0,1,0,1
720,1,2,-1.6347919052026787,0,1,0,0,1
724,1,1,-0.16145633254905373,1,0,1,0,1
380,1,1,0.8909262193463927,0,0,0,0,0
259,1,2,1.4521969136906308,0,1,0,0,1
341,1,1,-0.37193284292814305,3,2,0,0,1
259,1,2,1.4521969136906308,0,1,0,0,1
286,1,3,0.04902017783003555,0,0,1,0,1
469,1,3,-2.003125798366085,2,1,0,0,0
446,1,2,-1.1436800476514704,0,1,0,0,1
874,1,2,-0.09129749575602399,1,0,0,0,0
742,1,1,-0.5824093533072323,2,2,0,0,0
224,1,1,0.6102908721742737,1,0,1,0,1
635,1,2,-0.09129749575602399,0,0,0,0,1
412,1,1,0.25949668820912486,1,0,0,1,0
821,1,3,-0.16145633254905373,0,0,1,0,1
641,1,1,-0.37193284292814305,0,0,0,0,0
801,1,2,0.11917901462306531,1,1,0,0,1
558,1,1,0.6804497089673034,1,1,0,0,1
802,1,1,-1.28399772123753,1,2,1,0,1
556,1,1,1.3118792401045714,1,0,0,0,0
630,1,1,3.5569620174815237,0,0,1,0,1
609,1,1,0.7506085457603332,0,0,0,0,1
98,1,2,0.3296555250021546,0,1,0,0,1
81,1,3,-0.021138658962994217,0,0,1,0,1
146,1,3,-0.16145633254905373,0,0,1,0,1
635,1,2,-0.09129749575602399,0,0,0,0,1
483,1,3,2.364261792000018,0,0,0,0,1
125,1,3,-1.2138388844445003,1,0,1,0,0
381,1,3,-1.9855860891678276,0,2,0,0,0
369,1,1,-0.37193284292814305,0,0,0,0,0
556,1,1,1.3118792401045714,1,0,0,0,0
618,1,2,-1.7751095787887383,2,1,0,0,1
376,1,3,-0.5122505165142026,0,0,0,0,1
261,1,3,-1.845268415581768,4,2,1,0,1
1,1,1,0.6102908721742737,1,0,0,0,0
701,1,1,0.39981436179518437,0,0,1,0,1
106,1,3,-0.5824093533072323,0,0,0,0,1
858,1,3,-0.37193284292814305,0,3,0,0,0
79,1,3,0.04902017783003555,0,0,0,0,1
58,1,2,-1.7049507419957086,1,2,0,0,1
220,1,3,-0.9332035372723811,0,0,1,0,1
369,1,1,-0.37193284292814305,0,0,0,0,0
399,1,2,-0.09129749575602399,0,0,0,0,1
66,1,2,-0.021138658962994217,0,0,0,0,1
383,1,1,0.39981436179518437,1,0,0,0,1
484,1,1,-0.3017740061351133,1,0,1,0,0
412,1,1,0.25949668820912486,1,0,0,1,0
11,1,1,2.013467608034869,0,0,0,0,1
259,1,2,1.4521969136906308,0,1,0,0,1
316,1,2,-0.37193284292814305,1,0,0,0,1
23,1,1,-0.09129749575602399,0,0,1,0,1
765,1,1,1.5223557504836607,1,0,0,0,1
259,1,2,1.4521969136906308,0,1,0,0,1
546,1,2,-0.7227270268932918,1,0,0,0,1
585,1,1,-0.7928858636863216,0,2,0,0,1
165,1,3,-1.4243153948235896,0,2,1,0,1
724,1,1,-0.16145633254905373,1,0,1,0,1
52,1,1,1.382038076897601,1,0,0,0,0
389,1,2,-0.8630447004793513,0,0,0,0,0
802,1,1,-1.28399772123753,1,2,1,0,1
193,1,2,-1.845268415581768,1,1,1,0,1
127,1,3,-0.37193284292814305,0,0,1,0,1
781,1,1,-0.8630447004793513,1,0,0,0,1
716,1,1,0.6102908721742737,0,0,0,0,0
230,1,1,0.39981436179518437,1,0,0,0,1
831,1,2,-1.9975130914226429,1,1,1,0,1
85,1,3,0.25949668820912486,3,0,0,0,1
781,1,1,-0.8630447004793513,1,0,0,0,1
449,1,1,1.5925145872766904,0,0,1,0,1
724,1,1,-0.16145633254905373,1,0,1,0,1
558,1,1,0.6804497089673034,1,1,0,0,1
184,1,3,-1.7751095787887383,0,2,0,0,1
716,1,1,0.6102908721742737,0,0,0,0,0
618,1,2,-1.7751095787887383,2,1,0,0,1
448,1,3,-1.7049507419957086,2,1,0,0,0
651,1,2,-0.7928858636863216,0,1,0,0,1
651,1,2,-0.7928858636863216,0,1,0,0,1
21,1,2,0.3296555250021546,0,0,1,0,1
484,1,1,-0.3017740061351133,1,0,1,0,0
759,1,1,0.25949668820912486,0,0,0,0,1
796,1,1,1.382038076897601,0,0,0,0,1
865,1,2,0.8909262193463927,0,0,0,0,1
318,1,1,0.11917901462306531,0,2,0,0,1
858,1,3,-0.37193284292814305,0,3,0,0,0
660,1,1,1.4521969136906308,2,0,1,0,1
635,1,2,-0.09129749575602399,0,0,0,0,1
220,1,3,-0.9332035372723811,0,0,1,0,1
874,1,2,-0.09129749575602399,1,0,0,0,0
708,1,1,-0.5122505165142026,0,0,0,0,1
329,1,1,-0.9332035372723811,0,1,0,0,0
556,1,1,1.3118792401045714,1,0,0,0,0
447,1,1,0.3296555250021546,0,0,1,0,1
809,1,1,0.25949668820912486,1,0,0,0,1
489,1,3,-1.4243153948235896,1,1,1,0,1
751,1,3,-1.6347919052026787,0,1,1,0,1
290,1,1,-0.2316151693420835,0,0,0,0,1
581,1,1,0.6804497089673034,1,1,0,0,0
879,1,1,1.8731499344488094,0,1,0,0,0
247,1,2,-0.37193284292814305,0,2,0,0,1
649,1,3,-0.4420916797211728,0,0,0,0,1
316,1,2,-0.37193284292814305,1,0,0,0,1
190,1,2,0.18933785141609508,0,0,0,0,1
